NUMERO DE USINAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
XXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
014
NUMERO DAS USINAS NO CADASTRO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1   2   3   4   5   6   7   8   9   10  11  12  13  14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
6   7   8   10  14  15  16  24  25  26  30  31  32  33                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Hr  Dd  Mm  Ano                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
XX  XX  XX  XXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
00  06  01  2017
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
X X X X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
7 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
NUM     NOME      itp   DI HI M DF HF M      VAZAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
  6 FURNAS         2    06      F                1295 
  7 M. DE MORAES   2    06      F                1444 
  8 ESTREITO       2    06      F                1475 
 10 IGARAPAVA      2    06      F                1524 
 14 CACONDE        2    06      F                  85 
 15 E. DA CUNHA    2    06      F                 140 
 16 A.S.OLIVEIRA   2    06      F                 142 
 24 EMBORCACAO     2    06      F                 671 
 25 NOVA PONTE     2    06      F                 493 
 26 MIRANDA        2    06      F                 571 
 30 CORUMBA I      2    06      F                 661 
 31 ITUMBIARA      2    06      F                2347 
 32 CACH.DOURADA   2    06      F                2459 
 33 SAO SIMAO      2    06      F                3609 
FIM
